icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model, typecode, registration
3455da,1662239116.0,,1662244180,,VOE28TW ,,,LFQQ,,,A319,EC-MTF
48c129,1662193099.0,1662193100.0,1662200272,1662200336.0,RYR1857 ,EYVI,EYVI,EDFH,EDFH,Boeing 737-8AS (W),B738,SP-RKK
ac9e4e,1662191617.0,,1662192536,,N912CC  ,KDOV,,KGED,,MBB-BK 117 C-2,EC45,N912CC
406942,1662189308.0,,1662191186,,GSNSI   ,EGNJ,,,,AGUSTA AW139,A139,G-SNSI
a95dba,1662156163.0,,1662172198,,DAL1012 ,KLAS,,KJFK,,757 2Q8/W,B752,N702TW
a6812d,1662238243.0,,1662241102,,N518WT  ,K21D,,KEST,,SR22T,,N518WT
c0774c,1662219488.0,,1662222632,,CGTEP   ,CNC3,,CNC3,,Piper PA-44-180,PA44,C-GTEP
a44988,1662225180.0,,1662229053,,DAL2110 ,KATL,,KCMH,,737-832,B738,N3756
0d04df,1662225811.0,,1662227413,,SLI869  ,,,,,EMB-190 LR,E190,XA-JAC
440486,1662222713.0,,1662230639,,EJU36TR ,LBWV,,EDDB,,,,
3d09fe,1662213799.0,,1662214559,,DECAO   ,EDHK,,EDHK,,172R Skyhawk,C172,D-ECAO
008081,1662208531.0,,1662209809,,LNK105  ,,,FAOR,,,,
a3e658,1662222661.0,,1662227496,,AAL949  ,KMIA,,,,737-8,,N350RV
e0958f,1662218658.0,,1662219927,,JES3460 ,,,SABE,,A320 232,A320,LV-IVO
a3a0ca,1662207609.0,,1662215609,,UAL2672 ,KSEA,,KDEN,,737-824,B738,N33284
a861d0,1662229365.0,,1662230669,,N6392G  ,KFDK,,KFDK,,172N,,N6392G
a010fc,1662238335.0,,1662240979,,N103MR  ,CA66,,KDVO,,T206H,,N103MR
a3db93,1662155279.0,,1662163558,,FFT2500 ,KTPA,,KBUF,,A320-251N,,N348FR
8881bd,1662188365.0,,1662189657,,BAV1031 ,VVGL,,,,Embraer ERJ-190LR,E190,VN-A269
0100f6,1662194836.0,,1662207337,,AMV6183 ,,,LEMD,,737NG 86N/W,B738,SU-BPZ
ac1b8b,1662180870.0,,1662182283,,WSN24   ,,,KHHR,,PC-12/47E,,N88AQ
a54520,1662217957.0,,1662219791,,LXJ439  ,KHPN,,MA72,,EMB-545,LJ45,N439FX
484160,1662181155.0,,1662185107,,KLM34V  ,EDDM,,EHAM,,737NG 8K2/W,B738,PH-BXG
4bab5a,1662192585.0,,1662195643,1662195637.0,THY3UQ  ,,LTBS,OLBA,OLBA,Boeing 737-8KV,B738,TC-JZZ
