icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model, typecode, registration
ac407d,1662061660.0,,1662070367,,AAL1165 ,KORD,,KAUS,,737-823,B738,N889NN
aca9bf,1662059144.0,,1662061540,,FDX6237 ,LFPG,,LSZM,,757-236,B752,N915FD
800cbe,1662038288.0,,1662041526,,IGO7674 ,VECC,,,,,,
4aca6d,1662052914.0,,1662054669,,SAS1219 ,EKCH,,EKYT,,,,
4073c4,1662028116.0,,1662031648,,GZOMB   ,EGCA,,EGCB,,IKARUS C42 FB100 BRAVO Ikarus,UNDEFINED,G-ZOMB
47a7a8,1662056894.0,,1662062314,,NOZ3WP  ,,,ENBR,,Boeing 737NG 8JP/W,B738,LN-NGK
4d225c,1662066245.0,,1662071393,,RYR3SK  ,,,LIMC,,Boeing 737-8AS,B738,9H-QDD
151df8,1662061607.0,,1662068664,,SDM6441 ,ULLI,,,,737-8MC ,B738,RA-73208
a129a7,1662056791.0,,1662061762,,GRY74   ,KN89,,KN89,,UH-1H,UH1,N174SP
c0653f,1662005653.0,,1662007254,,ACA279  ,CYVR,,,,737-8,,C-GMIW
abacb1,1662048398.0,,1662050459,,WMU52   ,KBTL,,KBTL,,SR20,,N851ST
a00b9a,1661990404.0,,1661991023,,N1016E  ,UT99,,KU77,,M20R,,N1016E
440823,1662030210.0,1662030212.0,1662031504,,AUA9EF  ,LOWW,LOWW,LOKW,LOWK,EMB-195 LR,E195,OE-LWG
3b7b40,1662006464.0,,1662008293,,FDO8301 ,,LFQQ,LFAT,LFQQ,Cessna F406 Caravan II,F406,F-ZBGL
7502db,1662057215.0,,1662070744,,MXD232  ,,,WMKK,,737NG 8GP/W,B738,9M-LNP
76bcca,1662031366.0,,1662069283,,TGW713  ,LGAV,,,,787 8,B788,9V-OFJ
485785,1662010048.0,,1662018323,1662018321.0,KLM592  ,,FAOR,EHAM,EHAM,Boeing 787-9,B789,PH-BHN
a03ef8,1662066245.0,,1662067468,,N115C   ,14MI,,KC04,,SR22,,N115C
a40b12,1662055904.0,,1662057749,,N36MM   ,FD08,,KORL,,BD-700-1A10,GLEX,N36MM
a6ea41,1662047779.0,,1662049422,,N5448J  ,63FD,,KGNV,,421B,,N5448J
7c6318,1662012074.0,,1662015419,,TUY     ,YBAF,,YBAF,,Robinson R22 Beta,R22,VH-TUY
ab1d30,1662023510.0,,1662053726,,DAL161  ,EHAM,,KMSP,,A330-323,A333,N815NW
